phone,axes,first_with,with_without,first_without
s,Difficult - Easy,++0.2778,++0.01608,++0.01988
s,Evil - Benign,++0.2878,++0.001633,++0.004318
s,Faded - Bright,0.0006958,6.208e-08,++0.396
s,Feeble - Strong,++0.03207,1.981e-06,++0.1352
s,Masculine - Feminine,++0.03618,1.271e-05,++0.274
s,Passive - Active,++0.01805,3.506e-05,++0.3828
s,Quiet - Loud,++0.05764,++0.2888,++0.08015
s,Rough - Tender,++0.275,++0.3284,++0.3467
s,Sad - Joyful,++0.0806,++0.2384,++0.02103
s,Short - Long,++0.01252,++0.002362,++0.2551
s,Slow - Quick,++0.01104,++0.003812,3.775e-06
s,Small - Big,++0.02532,5.631e-09,++0.0449
s,Smooth - Rough_or_not_smooth,++0.007749,2.693e-06,++0.4599
s,Ugly - Beautiful,++0.009964,++0.04151,0.0001114
z,Angular - Round,++0.003392,4.28e-05,++0.1494
z,Bad - Good,++0.4409,++0.2824,++0.3168
z,Cold - Hot,++0.2299,++0.1685,++0.09681
z,Complex - Simple,++0.3826,++0.01418,++0.09794
z,Cowardly - Brave,++0.2868,++0.04,++0.369
z,Dangerous - Secure,++0.3437,++0.3423,++0.408
z,Dark - Luminous,++0.1289,++0.4833,++0.08821
z,Difficult - Easy,++0.426,++0.05062,++0.1717
z,Evil - Benign,++0.04356,++0.1679,++0.08897
z,Faded - Bright,++0.1289,++0.0478,++0.3359
z,Feeble - Strong,++0.001911,++0.1227,7.542e-05
z,Masculine - Feminine,++0.002038,4.699e-05,++0.09686
z,Passive - Active,++0.1491,++0.02503,++0.4414
z,Quiet - Loud,++0.3115,++0.38,++0.2923
z,Rough - Tender,++0.2005,++0.2797,++0.3021
z,Sad - Joyful,++0.4871,++0.352,++0.4257
z,Short - Long,++0.02071,0.0004093,++0.2499
z,Slow - Quick,++0.1686,++0.497,++0.1608
z,Small - Big,++0.01427,++0.006318,++0.1232
z,Smooth - Rough_or_not_smooth,++0.116,++0.07303,++0.2819
z,Ugly - Beautiful,++0.2025,++0.01865,++0.4895
ʃ,Angular - Round,++0.02434,++0.3068,++0.005084
ʃ,Bad - Good,++0.474,++0.03905,++0.1587
ʃ,Cold - Hot,++0.05051,++0.03036,++0.2421
ʃ,Complex - Simple,++0.08073,++0.05546,++0.3107
ʃ,Cowardly - Brave,++0.1028,++0.2698,++0.02514
ʃ,Dangerous - Secure,++0.01975,++0.1436,++0.05845
ʃ,Dark - Luminous,++0.3503,++0.1065,++0.367
ʃ,Difficult - Easy,++0.1983,++0.1822,++0.3779
ʃ,Evil - Benign,++0.1827,++0.0938,++0.02416
ʃ,Faded - Bright,++0.1518,++0.04849,++0.01282
ʃ,Feeble - Strong,++0.1897,++0.3847,++0.2049
ʃ,Masculine - Feminine,++0.03882,++0.005526,++0.333
ʃ,Passive - Active,++0.1819,++0.007985,++0.3164
ʃ,Quiet - Loud,++0.2824,++0.3444,++0.3275
ʃ,Rough - Tender,++0.01229,++0.1205,++0.03888
ʃ,Sad - Joyful,++0.1998,++0.1169,++0.4047
ʃ,Short - Long,++0.05604,++0.2782,++0.01874
